key,id,description,group,group_info
BEGF750101,A005,"Conformational parameter of inner helix (Beghin-Dirkx, 1975)",A,alpha and turn propensities
BEGF750103,A007,"Conformational parameter of beta-turn (Beghin-Dirkx, 1975)",A,alpha and turn propensities
BUNA790101,A016,"alpha-NH chemical shifts (Bundi-Wuthrich, 1979)",A,alpha and turn propensities
BUNA790103,A018,"Spin-spin coupling constants 3JHalpha-NH (Bundi-Wuthrich, 1979)",A,alpha and turn propensities
BURA740101,A019,"Normalized frequency of alpha-helix (Burgess et al., 1974)",A,alpha and turn propensities
CHAM830101,A022,"The Chou-Fasman parameter of the coil conformation (Charton-Charton, 1983)",A,alpha and turn propensities
CHAM830102,A023,"A parameter defined from the residuals obtained from the best correlation of the Chou-Fasman parameter of beta-sheet (Charton-Charton, 1983)",A,alpha and turn propensities
CHOP780101,A037,"Normalized frequency of beta-turn (Chou-Fasman, 1978a)",A,alpha and turn propensities
CHOP780201,A038,"Normalized frequency of alpha-helix (Chou-Fasman, 1978b)",A,alpha and turn propensities
CHOP780203,A040,"Normalized frequency of beta-turn (Chou-Fasman, 1978b)",A,alpha and turn propensities
CHOP780205,A042,"Normalized frequency of C-terminal helix (Chou-Fasman, 1978b)",A,alpha and turn propensities
CHOP780207,A044,"Normalized frequency of C-terminal non helical region (Chou-Fasman, 1978b)",A,alpha and turn propensities
CHOP780210,A047,"Normalized frequency of N-terminal non b region (Chou-Fasman, 1978b)",A,alpha and turn propensities
CHOP780211,A048,"Normalized frequency of C-terminal non b region (Chou-Fasman, 1978b)",A,alpha and turn propensities
CHOP780212,A049,"Frequency of the 1st residue in turn (Chou-Fasman, 1978b)",A,alpha and turn propensities
CHOP780213,A050,"Frequency of the 2nd residue in turn (Chou-Fasman, 1978b)",A,alpha and turn propensities
CHOP780215,A052,"Frequency of the 4th residue in turn (Chou-Fasman, 1978b)",A,alpha and turn propensities
CHOP780216,A053,"Normalized frequency of the 2nd and 3rd residues in turn (Chou-Fasman, 1978b)",A,alpha and turn propensities
CRAJ730101,A060,"Normalized frequency of middle helix (Crawford et al., 1973)",A,alpha and turn propensities
CRAJ730103,A062,"Normalized frequency of turn (Crawford et al., 1973)",A,alpha and turn propensities
FASG760103,A074,"Optical rotation (Fasman, 1976)",A,alpha and turn propensities
FASG760104,A075,"pK-N (Fasman, 1976)",A,alpha and turn propensities
FAUJ880113,A090,"pK-a(RCOOH) (Fauchere et al., 1988)",A,alpha and turn propensities
FINA770101,A091,"Helix-coil equilibrium constant (Finkelstein-Ptitsyn, 1977)",A,alpha and turn propensities
FINA910102,A093,"Helix initiation parameter at posision i,i+1,i+2 (Finkelstein et al., 1991)",A,alpha and turn propensities
GEIM800101,A097,"a-helix indices (Geisow-Roberts, 1980)",A,alpha and turn propensities
GEIM800102,A098,"a-helix indices for alpha-proteins (Geisow-Roberts, 1980)",A,alpha and turn propensities
GEIM800103,A099,"a-helix indices for beta-proteins (Geisow-Roberts, 1980)",A,alpha and turn propensities
GEIM800104,A100,"a-helix indices for alpha/beta-proteins (Geisow-Roberts, 1980)",A,alpha and turn propensities
GEIM800108,A104,"Aperiodic indices (Geisow-Roberts, 1980)",A,alpha and turn propensities
GEIM800109,A105,"Aperiodic indices for alpha-proteins (Geisow-Roberts, 1980)",A,alpha and turn propensities
GEIM800111,A107,"Aperiodic indices for alpha/beta-proteins (Geisow-Roberts, 1980)",A,alpha and turn propensities
ISOY800101,A119,"Normalized relative frequency of alpha-helix (Isogai et al., 1980)",A,alpha and turn propensities
ISOY800103,A121,"Normalized relative frequency of bend (Isogai et al., 1980)",A,alpha and turn propensities
ISOY800104,A122,"Normalized relative frequency of bend R (Isogai et al., 1980)",A,alpha and turn propensities
ISOY800106,A124,"Normalized relative frequency of helix end (Isogai et al., 1980)",A,alpha and turn propensities
KANM800101,A138,"Average relative probability of helix (Kanehisa-Tsong, 1980)",A,alpha and turn propensities
KANM800103,A140,"Average relative probability of inner helix (Kanehisa-Tsong, 1980)",A,alpha and turn propensities
LEVM780101,A160,"Normalized frequency of alpha-helix, with weights (Levitt, 1978)",A,alpha and turn propensities
LEVM780103,A162,"Normalized frequency of reverse turn, with weights (Levitt, 1978)",A,alpha and turn propensities
LEVM780104,A163,"Normalized frequency of alpha-helix, unweighted (Levitt, 1978)",A,alpha and turn propensities
LEVM780106,A165,"Normalized frequency of reverse turn, unweighted (Levitt, 1978)",A,alpha and turn propensities
LEWP710101,A166,"Frequency of occurrence in beta-bends (Lewis et al., 1971)",A,alpha and turn propensities
MAXF760101,A171,"Normalized frequency of alpha-helix (Maxfield-Scheraga, 1976)",A,alpha and turn propensities
MAXF760106,A176,"Normalized frequency of a region (Maxfield-Scheraga, 1976)",A,alpha and turn propensities
NAGK730101,A186,"Normalized frequency of alpha-helix (Nagano, 1973)",A,alpha and turn propensities
NAGK730103,A188,"Normalized frequency of coil (Nagano, 1973)",A,alpha and turn propensities
PALJ810101,A223,"Normalized frequency of alpha-helix from LG (Palau et al., 1981)",A,alpha and turn propensities
PALJ810102,A224,"Normalized frequency of alpha-helix from CF (Palau et al., 1981)",A,alpha and turn propensities
PALJ810105,A227,"Normalized frequency of turn from LG (Palau et al., 1981)",A,alpha and turn propensities
PALJ810106,A228,"Normalized frequency of turn from CF (Palau et al., 1981)",A,alpha and turn propensities
PALJ810107,A229,"Normalized frequency of alpha-helix in all-alphaclass (Palau et al., 1981)",A,alpha and turn propensities
PALJ810108,A230,"Normalized frequency of alpha-helix in alpha+beta class (Palau et al., 1981)",A,alpha and turn propensities
PALJ810109,A231,"Normalized frequency of alpha-helix in alpha/beta class (Palau et al., 1981)",A,alpha and turn propensities
PALJ810113,A235,"Normalized frequency of turn in all-alpha class (Palau et al., 1981)",A,alpha and turn propensities
PALJ810114,A236,"Normalized frequency of turn in all-beta class (Palau et al., 1981)",A,alpha and turn propensities
PALJ810115,A237,"Normalized frequency of turn in alpha+beta class (Palau et al., 1981)",A,alpha and turn propensities
PALJ810116,A238,"Normalized frequency of turn in alpha/beta class (Palau et al., 1981)",A,alpha and turn propensities
PRAM900102,A250,"Relative frequency in alpha-helix (Prabhakaran, 1990)",A,alpha and turn propensities
PRAM900104,A252,"Relative frequency in reverse-turn (Prabhakaran, 1990)",A,alpha and turn propensities
PTIO830101,A256,"Helix-coil equilibrium constant (Ptitsyn-Finkelstein, 1983)",A,alpha and turn propensities
QIAN880101,A258,"Weights for alpha-helix at the window position of -6 (Qian-Sejnowski, 1988)",A,alpha and turn propensities
QIAN880102,A259,"Weights for alpha-helix at the window position of -5 (Qian-Sejnowski, 1988)",A,alpha and turn propensities
QIAN880103,A260,"Weights for alpha-helix at the window position of -4 (Qian-Sejnowski, 1988)",A,alpha and turn propensities
QIAN880104,A261,"Weights for alpha-helix at the window position of -3 (Qian-Sejnowski, 1988)",A,alpha and turn propensities
QIAN880105,A262,"Weights for alpha-helix at the window position of -2 (Qian-Sejnowski, 1988)",A,alpha and turn propensities
QIAN880106,A263,"Weights for alpha-helix at the window position of -1 (Qian-Sejnowski, 1988)",A,alpha and turn propensities
QIAN880107,A264,"Weights for alpha-helix at the window position of 0 (Qian-Sejnowski, 1988)",A,alpha and turn propensities
QIAN880108,A265,"Weights for alpha-helix at the window position of 1 (Qian-Sejnowski, 1988)",A,alpha and turn propensities
QIAN880109,A266,"Weights for alpha-helix at the window position of 2 (Qian-Sejnowski, 1988)",A,alpha and turn propensities
QIAN880110,A267,"Weights for alpha-helix at the window position of 3 (Qian-Sejnowski, 1988)",A,alpha and turn propensities
QIAN880111,A268,"Weights for alpha-helix at the window position of 4 (Qian-Sejnowski, 1988)",A,alpha and turn propensities
QIAN880112,A269,"Weights for alpha-helix at the window position of 5 (Qian-Sejnowski, 1988)",A,alpha and turn propensities
QIAN880113,A270,"Weights for alpha-helix at the window position of 6 (Qian-Sejnowski, 1988)",A,alpha and turn propensities
QIAN880117,A274,"Weights for beta-sheet at the window position of -3 (Qian-Sejnowski, 1988)",A,alpha and turn propensities
QIAN880129,A286,"Weights for coil at the window position of -4 (Qian-Sejnowski, 1988)",A,alpha and turn propensities
QIAN880130,A287,"Weights for coil at the window position of -3 (Qian-Sejnowski, 1988)",A,alpha and turn propensities
QIAN880131,A288,"Weights for coil at the window position of -2 (Qian-Sejnowski, 1988)",A,alpha and turn propensities
QIAN880132,A289,"Weights for coil at the window position of -1 (Qian-Sejnowski, 1988)",A,alpha and turn propensities
QIAN880133,A290,"Weights for coil at the window position of 0 (Qian-Sejnowski, 1988)",A,alpha and turn propensities
QIAN880134,A291,"Weights for coil at the window position of 1 (Qian-Sejnowski, 1988)",A,alpha and turn propensities
QIAN880135,A292,"Weights for coil at the window position of 2 (Qian-Sejnowski, 1988)",A,alpha and turn propensities
QIAN880136,A293,"Weights for coil at the window position of 3 (Qian-Sejnowski, 1988)",A,alpha and turn propensities
QIAN880137,A294,"Weights for coil at the window position of 4 (Qian-Sejnowski, 1988)",A,alpha and turn propensities
QIAN880138,A295,"Weights for coil at the window position of 5 (Qian-Sejnowski, 1988)",A,alpha and turn propensities
QIAN880139,A296,"Weights for coil at the window position of 6 (Qian-Sejnowski, 1988)",A,alpha and turn propensities
RACS820104,A300,"Average relative fractional occurrence in EL(i) (Rackovsky-Scheraga, 1982)",A,alpha and turn propensities
RACS820108,A304,"Average relative fractional occurrence in AR(i-1) (Rackovsky-Scheraga, 1982)",A,alpha and turn propensities
RACS820110,A306,"Average relative fractional occurrence in EL(i-1) (Rackovsky-Scheraga, 1982)",A,alpha and turn propensities
RACS820112,A308,"Average relative fractional occurrence in ER(i-1) (Rackovsky-Scheraga, 1982)",A,alpha and turn propensities
RACS820114,A310,"Value of theta(i-1) (Rackovsky-Scheraga, 1982)",A,alpha and turn propensities
RICJ880107,A328,"Relative preference value at N4 (Richardson-Richardson, 1988)",A,alpha and turn propensities
RICJ880109,A330,"Relative preference value at Mid (Richardson-Richardson, 1988)",A,alpha and turn propensities
RICJ880110,A331,"Relative preference value at C5 (Richardson-Richardson, 1988)",A,alpha and turn propensities
RICJ880112,A333,"Relative preference value at C3 (Richardson-Richardson, 1988)",A,alpha and turn propensities
RICJ880113,A334,"Relative preference value at C2 (Richardson-Richardson, 1988)",A,alpha and turn propensities
RICJ880114,A335,"Relative preference value at C1 (Richardson-Richardson, 1988)",A,alpha and turn propensities
RICJ880116,A337,"Relative preference value at C' (Richardson-Richardson, 1988)",A,alpha and turn propensities
RICJ880117,A338,"Relative preference value at C'' (Richardson-Richardson, 1988)",A,alpha and turn propensities
ROBB760101,A340,"Information measure for alpha-helix (Robson-Suzuki, 1976)",A,alpha and turn propensities
ROBB760103,A342,"Information measure for middle helix (Robson-Suzuki, 1976)",A,alpha and turn propensities
ROBB760104,A343,"Information measure for C-terminal helix (Robson-Suzuki, 1976)",A,alpha and turn propensities
ROBB760107,A346,"Information measure for extended without H-bond (Robson-Suzuki, 1976)",A,alpha and turn propensities
ROBB760108,A347,"Information measure for turn (Robson-Suzuki, 1976)",A,alpha and turn propensities
ROBB760109,A348,"Information measure for N-terminal turn (Robson-Suzuki, 1976)",A,alpha and turn propensities
ROBB760110,A349,"Information measure for middle turn (Robson-Suzuki, 1976)",A,alpha and turn propensities
ROBB760111,A350,"Information measure for C-terminal turn (Robson-Suzuki, 1976)",A,alpha and turn propensities
ROBB760112,A351,"Information measure for coil (Robson-Suzuki, 1976)",A,alpha and turn propensities
ROBB760113,A352,"Information measure for loop (Robson-Suzuki, 1976)",A,alpha and turn propensities
SNEP660101,A359,"Principal component I (Sneath, 1966)",A,alpha and turn propensities
SNEP660104,A362,"Principal component IV (Sneath, 1966)",A,alpha and turn propensities
SUEM840101,A363,"Zimm-Bragg parameter s at 20° C (Sueki et al., 1984)",A,alpha and turn propensities
TANS770101,A366,"Normalized frequency of alpha-helix (Tanaka-Scheraga, 1977)",A,alpha and turn propensities
TANS770102,A367,"Normalized frequency of isolated helix (Tanaka-Scheraga, 1977)",A,alpha and turn propensities
TANS770104,A369,"Normalized frequency of chain reversal R (Tanaka-Scheraga, 1977)",A,alpha and turn propensities
TANS770110,A375,"Normalized frequency of chain reversal (Tanaka-Scheraga, 1977)",A,alpha and turn propensities
VASM830101,A376,"Relative population of conformational state A (Vasquez et al., 1983)",A,alpha and turn propensities
WOLS870103,A391,"Principal property value z3 (Wold et al., 1987)",A,alpha and turn propensities
BURA740102,B020,"Normalized frequency of extended structure (Burgess et al., 1974)",B,beta propensity
CHAM830107,B028,"A parameter of charge transfer capability (Charton-Charton, 1983)",B,beta propensity
CHOP780202,B039,"Normalized frequency of beta-sheet (Chou-Fasman, 1978b)",B,beta propensity
CHOP780208,B045,"Normalized frequency of N-terminal beta-sheet (Chou-Fasman, 1978b)",B,beta propensity
CHOP780209,B046,"Normalized frequency of C-terminal beta-sheet (Chou-Fasman, 1978b)",B,beta propensity
CRAJ730102,B061,"Normalized frequency of beta-sheet (Crawford et al., 1973)",B,beta propensity
GEIM800105,B101,"beta-strand indices (Geisow-Roberts, 1980)",B,beta propensity
GEIM800106,B102,"beta-strand indices for beta-proteins (Geisow-Roberts, 1980)",B,beta propensity
GEIM800107,B103,"beta-strand indices for alpha/beta-proteins (Geisow-Roberts, 1980)",B,beta propensity
GEIM800110,B106,"Aperiodic indices for beta-proteins (Geisow-Roberts, 1980)",B,beta propensity
ISOY800102,B120,"Normalized relative frequency of extended structure (Isogai et al., 1980)",B,beta propensity
KANM800102,B139,"Average relative probability of beta-sheet (Kanehisa-Tsong, 1980)",B,beta propensity
KANM800104,B141,"Average relative probability of inner beta-sheet (Kanehisa-Tsong, 1980)",B,beta propensity
LEVM780102,B161,"Normalized frequency of beta-sheet, with weights (Levitt, 1978)",B,beta propensity
LEVM780105,B164,"Normalized frequency of beta-sheet, unweighted (Levitt, 1978)",B,beta propensity
LIFS790101,B167,"Conformational preference for all beta-strands (Lifson-Sander, 1979)",B,beta propensity
LIFS790102,B168,"Conformational preference for parallel beta-strands (Lifson-Sander, 1979)",B,beta propensity
LIFS790103,B169,"Conformational preference for antiparallel beta-strands (Lifson-Sander, 1979)",B,beta propensity
MAXF760102,B172,"Normalized frequency of extended structure (Maxfield-Scheraga, 1976)",B,beta propensity
NAGK730102,B187,"Normalized frequency of beta-structure (Nagano, 1973)",B,beta propensity
OOBM850101,B218,"Optimized beta-structure-coil equilibrium constant (Oobatake et al., 1985)",B,beta propensity
OOBM850104,B221,"Optimized average non-bonded energy per atom (Oobatake et al., 1985)",B,beta propensity
PALJ810103,B225,"Normalized frequency of beta-sheet from LG (Palau et al., 1981)",B,beta propensity
PALJ810104,B226,"Normalized frequency of beta-sheet from CF (Palau et al., 1981)",B,beta propensity
PALJ810110,B232,"Normalized frequency of beta-sheet in all-beta class (Palau et al., 1981)",B,beta propensity
PALJ810112,B234,"Normalized frequency of beta-sheet in alpha/beta class (Palau et al., 1981)",B,beta propensity
PRAM900103,B251,"Relative frequency in beta-sheet (Prabhakaran, 1990)",B,beta propensity
PTIO830102,B257,"beta-coil equilibrium constant (Ptitsyn-Finkelstein, 1983)",B,beta propensity
QIAN880118,B275,"Weights for beta-sheet at the window position of -2 (Qian-Sejnowski, 1988)",B,beta propensity
QIAN880119,B276,"Weights for beta-sheet at the window position of -1 (Qian-Sejnowski, 1988)",B,beta propensity
QIAN880120,B277,"Weights for beta-sheet at the window position of 0 (Qian-Sejnowski, 1988)",B,beta propensity
QIAN880121,B278,"Weights for beta-sheet at the window position of 1 (Qian-Sejnowski, 1988)",B,beta propensity
QIAN880122,B279,"Weights for beta-sheet at the window position of 2 (Qian-Sejnowski, 1988)",B,beta propensity
RACS820111,B307,"Average relative fractional occurrence in E0(i-1) (Rackovsky-Scheraga, 1982)",B,beta propensity
ROBB760105,B344,"Information measure for extended (Robson-Suzuki, 1976)",B,beta propensity
ROBB760106,B345,"Information measure for pleated-sheet (Robson-Suzuki, 1976)",B,beta propensity
TANS770103,B368,"Normalized frequency of extended structure (Tanaka-Scheraga, 1977)",B,beta propensity
CHAM830108,C029,"A parameter of charge transfer donor capability (Charton-Charton, 1983)",C,Composition
DAYM780101,C064,"Amino acid composition (Dayhoff et al., 1978b)",C,Composition
HUTJ700101,C116,"Heat capacity (Hutchens, 1970)",C,Composition
JOND920101,C134,"Relative frequency of occurrence (Jones et al., 1992)",C,Composition
JUKT750101,C136,"Amino acid distribution (Jukes et al., 1975)",C,Composition
JUNJ780101,C137,"Sequence frequency (Jungck, 1978)",C,Composition
KARP850103,C144,"Flexibility parameter for two rigid neighbors (Karplus-Schulz, 1985)",C,Composition
NAKH920101,C189,"AA composition of CYT of single-spanning proteins (Nakashima-Nishikawa, 1992)",C,Composition
NAKH920102,C190,"AA composition of CYT2 of single-spanning proteins (Nakashima-Nishikawa, 1992)",C,Composition
NAKH920103,C191,"AA composition of EXT of single-spanning proteins (Nakashima-Nishikawa, 1992)",C,Composition
NAKH920104,C192,"AA composition of EXT2 of single-spanning proteins (Nakashima-Nishikawa, 1992)",C,Composition
NAKH920105,C193,"AA composition of MEM of single-spanning proteins (Nakashima-Nishikawa, 1992)",C,Composition
NAKH920106,C194,"AA composition of CYT of multi-spanning proteins (Nakashima-Nishikawa, 1992)",C,Composition
NAKH920107,C195,"AA composition of EXT of multi-spanning proteins (Nakashima-Nishikawa, 1992)",C,Composition
NAKH920108,C196,"AA composition of MEM of multi-spanning proteins (Nakashima-Nishikawa, 1992)",C,Composition
NAKH900101,C197,"AA composition of total proteins (Nakashima et al., 1990)",C,Composition
NAKH900102,C198,"SD of AA composition of total proteins (Nakashima et al., 1990)",C,Composition
NAKH900103,C199,"AA composition of mt-proteins (Nakashima et al., 1990)",C,Composition
NAKH900105,C201,"AA composition of mt-proteins from animal (Nakashima et al., 1990)",C,Composition
NAKH900107,C203,"AA composition of mt-proteins from fungi and plant (Nakashima et al., 1990)",C,Composition
NAKH900109,C205,"AA composition of membrane proteins (Nakashima et al., 1990)",C,Composition
NAKH900111,C207,"Transmembrane regions of non-mt-proteins (Nakashima et al., 1990)",C,Composition
NAKH900112,C208,"Transmembrane regions of mt-proteins (Nakashima et al., 1990)",C,Composition
RACS820105,C301,"Average relative fractional occurrence in E0(i) (Rackovsky-Scheraga, 1982)",C,Composition
ARGP820101,H002,"Hydrophobicity index (Argos et al., 1982)",H,Hydrophobicity
ARGP820102,H003,"Signal sequence helical potential (Argos et al., 1982)",H,Hydrophobicity
ARGP820103,H004,"Membrane-buried preference parameters (Argos et al., 1982)",H,Hydrophobicity
BEGF750102,H006,"Conformational parameter of beta-structure (Beghin-Dirkx, 1975)",H,Hydrophobicity
BHAR880101,H008,"Average flexibility indices (Bhaskaran-Ponnuswamy, 1988)",H,Hydrophobicity
BIOV880101,H010,"Information value for accessibility; average fraction 35% (Biou et al., 1988)",H,Hydrophobicity
BIOV880102,H011,"Information value for accessibility; average fraction 23% (Biou et al., 1988)",H,Hydrophobicity
BROC820101,H012,"Retention coefficient in TFA (Browne et al., 1982)",H,Hydrophobicity
BROC820102,H013,"Retention coefficient in HFBA (Browne et al., 1982)",H,Hydrophobicity
