,smiles,ESOL,rd_8,rd_32,rd_64,rd_128,rd_512,rd_1024,rd_2048,rd_4096,rd_8192,rd_16384
0,OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O ,-0.77,1,3,3,1,2,3,1,3,4,3
1,Cc1occc1C(=O)Nc2ccccc2,-3.3,3,1,5,2,4,2,4,2,3,4
2,CC(C)=CCCC(C)=CC(=O),-2.06,5,3,3,5,3,4,1,4,3,3
3,c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,-7.87,3,2,2,1,1,4,3,3,2,3
4,c1ccsc1,-1.33,1,2,4,1,5,4,1,3,5,5
5,c2ccc1scnc1c2 ,-1.5,3,3,2,3,1,2,2,4,5,1
6,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,-7.32,5,5,2,2,1,3,5,4,1,2
7,CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,-5.03,5,1,1,2,5,5,4,4,4,2
8,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,-6.29,3,1,4,3,4,4,4,4,4,5
9,COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C ,-4.42,1,5,3,2,4,5,5,2,1,5
10,O=C1CCCN1,1.07,5,4,5,5,3,1,1,5,3,1
11,Clc1ccc2ccccc2c1,-4.14,4,1,4,3,4,2,1,5,5,5
12,CCCC=C,-2.68,1,3,4,4,1,4,2,1,5,5
13,CCC1(C(=O)NCNC1=O)c2ccccc2,-2.64,3,1,1,4,4,5,1,2,1,2
14,CCCCCCCCCCCCCC,-7.96,1,4,4,2,3,4,4,4,5,5
15,CC(C)Cl,-1.41,3,3,4,4,1,1,3,2,2,2
16,CCC(C)CO,-0.47,1,2,1,5,1,2,3,1,5,1
17,N#Cc1ccccc1,-1.0,4,2,2,2,2,4,5,3,5,2
18,CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,-3.64,2,3,5,3,2,1,4,3,3,3
19,CCCCCCCCCC(C)O,-2.94,5,1,4,5,2,2,2,3,2,5
20,Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl ,-7.43,1,4,1,5,1,3,1,2,5,4
21,O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3,-4.5939999999999985,4,4,1,1,3,3,2,2,4,1
22,CCOP(=S)(OCC)SCSCC,-4.11,2,3,5,5,1,2,5,1,2,4
23,CCOc1ccc(NC(=O)C)cc1,-2.35,5,4,4,2,1,3,4,1,3,1
24,CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O,-5.47,4,5,4,1,1,4,2,1,3,4
25,CCCCCCCO,-1.81,3,4,2,1,5,5,5,1,2,4
26,Cn1c(=O)n(C)c2nc[nH]c2c1=O,-1.39,4,5,2,4,4,1,3,1,4,2
27,CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.661,3,1,5,2,3,4,4,3,3,1
28,ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,-6.9,5,3,4,2,2,4,1,5,1,2
29,CCCCCCCC(=O)OC,-3.17,4,4,3,4,4,3,2,5,2,5
30,CCc1ccc(CC)cc1,-3.75,2,1,3,4,2,1,1,1,1,4
31,CCOP(=S)(OCC)SCSC(C)(C)C,-4.755,4,4,5,2,5,5,3,4,5,4
32,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,-4.805,2,1,5,5,1,5,5,4,1,1
33,ClC(=C)Cl,-1.64,3,2,1,5,5,1,3,1,2,1
34,Cc1cccc2c1Cc3ccccc32,-5.22,4,4,5,3,3,1,5,3,1,5
35,CCCCC=O,-0.85,2,5,3,3,1,1,3,3,5,5
36,N(c1ccccc1)c2ccccc2,-3.504,4,2,1,4,5,4,5,5,1,2
37,CN(C)C(=O)SCCCCOc1ccccc1,-3.927,4,3,1,3,3,5,3,1,2,5
38,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,-4.15,5,1,1,1,1,2,2,3,3,3
39,CCCCCCCI,-4.81,1,1,5,5,5,2,5,2,1,3
40,c1c(Cl)cccc1c2ccccc2,-4.88,1,1,5,5,1,2,3,3,1,4
41,OCCCC=C,-0.15,1,2,1,3,5,5,2,5,2,3
42,O=C2NC(=O)C1(CCC1)C(=O)N2,-1.655,5,4,2,5,3,4,4,4,1,5
43,CC(C)C1CCC(C)CC1O ,-2.53,2,2,1,4,3,2,2,5,3,5
44,CC(C)OC=O,-0.63,4,3,3,5,4,2,3,4,4,1
45,CCCCCC(C)O,-1.55,4,2,3,1,5,2,1,4,5,1
46,CC(=O)Nc1ccc(Br)cc1,-3.083,4,3,5,3,4,3,2,2,2,4
47,c1ccccc1n2ncc(N)c(Br)c2(=O),-3.127,3,2,3,3,1,3,4,5,2,4
48,COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C ,-4.76,5,3,2,5,3,5,3,3,3,5
49,c2c(C)cc1nc(C)ccc1c2 ,-1.94,3,1,4,1,5,1,2,1,4,1
50,CCCCCCC#C,-3.66,2,1,2,3,3,4,4,4,4,4
51,CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2 ,-2.17,1,1,1,5,3,1,4,4,5,5
52,c1ccc2c(c1)ccc3c4ccccc4ccc23,-8.057,4,2,3,4,1,5,2,4,2,5
53,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O ,-2.523,1,5,3,5,2,1,2,1,4,2
54,Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-8.6,5,3,5,1,1,1,5,4,4,3
55,Cc1ccccc1O,-0.62,4,3,2,2,1,2,1,2,1,3
56,CC(C)CCC(C)(C)C,-5.05,1,2,1,1,1,5,5,4,2,2
57,Cc1ccc(C)c2ccccc12,-4.14,2,3,2,5,1,3,2,5,5,5
58,Cc1cc2c3ccccc3ccc2c4ccccc14,-6.57,1,3,4,1,4,5,2,4,2,2
59,CCCC(=O)C,-0.19,3,1,1,4,4,4,5,5,1,3
60,Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-9.15,2,2,4,2,3,1,4,4,1,4
61,CCCOC(=O)CC,-0.82,1,5,2,5,4,5,4,2,4,3
62,CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO,-3.68,4,5,5,3,5,2,3,3,1,3
63,Nc1ccc(O)cc1,-0.8,3,2,5,5,1,3,1,2,1,4
64,O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2,-2.81,2,5,2,2,1,2,1,4,1,2
65,OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O,-5.931,1,1,3,5,4,4,3,3,1,2
66,CCNc1nc(Cl)nc(n1)N(CC)CC,-4.06,2,3,4,5,2,1,2,5,5,3
67,NC(=O)c1cnccn1,-0.667,4,1,3,1,3,5,4,5,5,1
68,CCC(Br)(CC)C(=O)NC(N)=O,-2.68,4,1,4,3,1,3,2,1,3,2
69,Clc1ccccc1c2ccccc2Cl ,-5.27,4,1,2,3,1,5,3,4,4,5
70,O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2 ,-3.38,2,2,5,3,3,2,4,3,4,2
71,Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2,-5.46,3,4,5,2,1,1,2,1,5,2
72,CC1(C)C2CCC1(C)C(=O)C2,-1.96,4,2,4,5,4,1,3,5,5,4
73,O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,-2.369,2,2,2,4,5,5,4,5,2,2
74,CCCCC(=O)OCC,-2.25,2,1,4,5,1,5,2,2,2,3
75,CC(C)CCOC(=O)C,-1.92,4,4,1,5,1,3,1,3,4,4
76,O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-5.886,2,5,1,3,5,1,1,4,2,2
77,Clc1cccc(c1)c2cc(Cl)ccc2Cl ,-6.01,4,5,1,1,4,4,3,2,1,5
78,CCCBr,-1.73,1,5,3,4,5,2,1,2,4,3
79,CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,-3.4930000000000003,2,2,1,3,3,5,4,2,1,2
80,COP(=S)(OC)SCC(=O)N(C)C=O,-1.995,1,3,2,4,3,3,3,3,2,4
81,Cc1ncnc2nccnc12,-0.466,1,1,2,3,2,2,5,2,4,1
82,NC(=S)N,0.32,5,2,4,1,1,5,5,2,3,4
83,Cc1ccc(C)cc1,-2.77,2,3,3,1,4,5,4,3,3,4
84,CCc1ccccc1CC,-3.28,3,1,5,4,4,4,4,4,3,1
85,ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.67,1,1,5,3,4,4,1,3,4,5
86,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3,-6.876,5,1,1,5,2,3,1,1,2,3
87,CCCN(=O)=O,-0.8,4,5,2,3,2,4,4,4,2,2
88,CC(C)C1CCC(C)CC1=O,-2.35,4,5,5,1,5,5,4,5,2,5
89,CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23 ,-5.36,2,1,3,3,5,2,4,5,4,5
90,O=N(=O)c1c(Cl)c(Cl)ccc1,-3.48,1,2,3,3,3,5,3,3,2,4
91,CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O ,-3.46,1,1,2,1,5,1,4,5,1,4
92,c1ccc2c(c1)c3cccc4cccc2c34,-6.0,1,2,2,5,3,4,1,2,4,4
93,CCCOC(C)C,-1.34,2,5,2,1,1,2,4,1,2,3
94,Cc1cc(C)c2ccccc2c1,-4.29,4,1,5,4,1,3,2,4,2,5
95,CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2 ,-4.07,3,4,3,3,2,3,4,1,2,2
96,c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1,-5.64,3,2,3,3,5,2,2,3,1,1
97,Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,-7.25,4,1,1,2,1,2,3,4,4,2
98,C1OC1c2ccccc2 ,-1.6,5,5,1,3,4,4,4,1,3,2
99,CC(C)c1ccccc1,-3.27,4,2,2,1,1,2,2,3,1,2
100,CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,-3.45,1,5,4,2,3,1,5,3,5,1
101,c2(Cl)c(Cl)c(Cl)c1nccnc1c2(Cl) ,-5.43,1,3,1,5,5,2,1,4,4,2
102,C1OC(O)C(O)C(O)C1O,0.39,4,3,5,1,4,1,5,2,1,4
103,ClCCl,-0.63,1,3,3,3,3,5,1,4,5,5
104,CCc1cccc2ccccc12,-4.17,4,4,3,4,1,5,3,3,2,4
105,COC=O,0.58,5,2,5,2,1,3,3,1,5,3
106,Oc1ccccc1N(=O)=O,-1.74,1,3,4,4,4,2,4,5,3,1
107,Cc1c[nH]c(=O)[nH]c1=O ,-1.506,2,4,4,5,4,4,1,2,5,5
108,CC(C)C,-2.55,3,4,4,5,2,5,5,1,3,4
109,OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23,-1.23,1,2,3,1,4,3,1,1,3,1
110,Oc1c(I)cc(C#N)cc1I,-3.61,4,3,2,5,2,3,2,2,2,5
111,Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)N(=O)=O,-4.7,1,3,5,5,1,2,5,3,1,3
112,CCCCC,-3.18,5,3,1,5,4,4,5,2,4,3
113,c1ccccc1O,0.0,4,3,1,5,5,3,4,5,2,2
114,Nc3ccc2cc1ccccc1cc2c3 ,-5.17,4,1,4,2,5,3,3,4,3,4
115,Cn1cnc2n(C)c(=O)[nH]c(=O)c12 ,-2.523,5,4,2,4,3,1,2,2,5,4
116,c1ccc2cnccc2c1,-1.45,1,5,5,1,1,4,1,5,2,2
117,COP(=S)(OC)SCC(=O)N(C(C)C)c1ccc(Cl)cc1,-4.432,5,3,5,3,2,5,3,3,3,1
118,CCCCCCc1ccccc1,-5.21,5,2,2,4,5,5,2,5,3,4
119,Clc1ccccc1c2ccccc2,-4.54,3,4,5,3,2,5,5,3,1,2
120,CCCC(=C)C,-3.03,1,5,1,5,1,5,2,2,1,3
121,CC(C)C(C)C(C)C,-4.8,5,3,2,4,4,5,1,1,3,3
122,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,-5.65,3,1,1,2,2,2,1,3,1,2
123,Oc1cccc(c1)N(=O)=O,-1.01,5,2,2,2,1,4,5,4,3,4
124,CCCCCCCCC=C,-5.51,2,3,3,3,5,2,3,2,1,4
125,CC(=O)OCC(COC(=O)C)OC(=O)C,-0.6,2,5,4,5,3,4,4,4,1,4
126,CCCCc1c(C)nc(nc1O)N(C)C ,-2.24,2,5,4,4,1,3,3,5,2,1
127,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2,-7.3370000000000015,2,2,1,4,3,1,1,3,3,4
128,c1ccncc1,0.76,5,3,3,3,1,5,3,4,1,2
129,CCCCCCCBr,-4.43,1,5,4,4,5,4,5,5,1,1
130,Cc1ccncc1C,0.36,2,3,1,3,4,4,2,1,5,3
131,CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO ,-3.43,1,1,1,5,5,1,5,1,3,4
132,CCSCc1ccccc1OC(=O)NC ,-2.09,4,3,5,1,3,3,5,4,2,1
133,CCOC(=O)CC(=O)OCC,-0.82,5,1,2,2,5,2,3,3,1,3
134,CC1=CCC(CC1)C(C)=C,-4.26,1,4,4,1,4,1,1,4,3,1
135,C1Cc2ccccc2C1,-3.04,3,2,2,2,1,2,2,1,4,4
136,CC(C)(C)c1ccc(O)cc1,-2.41,5,2,3,4,3,3,3,2,3,2
137,O=C2NC(=O)C1(CC1)C(=O)N2 ,-1.886,4,3,2,4,2,5,1,2,2,4
138,Clc1cccc(I)c1,-3.55,3,4,5,3,3,5,4,2,4,3
139,Brc1cccc2ccccc12,-4.35,4,1,4,3,5,5,5,5,3,4
140,CC/C=C/C,-2.54,5,4,5,2,2,3,2,3,5,5
141,Cc1cccc(C)n1,0.45,2,1,4,5,3,5,3,5,3,4
142,ClC=C(Cl)Cl,-1.96,5,4,5,1,3,4,1,5,2,3
143,Nc1cccc2ccccc12,-1.92,5,2,4,3,4,2,4,2,1,2
144,Cc1cccc(C)c1,-2.82,2,2,2,3,5,1,1,3,3,4
145,Oc2ncc1nccnc1n2,-1.947,2,2,1,3,5,3,4,2,3,4
146,CO,1.57,1,2,2,5,1,2,3,5,2,5
147,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.468,2,1,3,5,4,4,1,3,1,2
148,CCC(=O)C,0.52,1,4,2,1,3,2,4,3,2,3
149,Fc1c[nH]c(=O)[nH]c1=O ,-1.077,3,1,3,4,3,5,2,5,3,2
150,Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O ,-1.95,4,5,2,1,3,1,4,5,1,3
151,Oc1cccc(O)c1,0.81,1,1,4,1,2,5,1,1,1,2
152,CCCCCCO,-1.24,5,5,4,3,4,4,4,4,3,3
153,CCCCCCl,-2.73,2,3,5,4,1,1,5,5,4,1
154,C=CC=C,-1.87,4,3,4,2,3,1,3,3,2,2
155,CCCOC(=O)C,-0.72,4,5,5,3,1,1,2,2,5,1
156,Oc2ccc1CCCCc1c2 ,-1.99,4,4,5,4,3,3,4,5,3,1
157,NC(=O)CCl ,-0.02,2,1,3,5,3,2,2,3,1,4
158,COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,-6.62,3,5,2,1,2,5,5,5,4,2
159,Cc1ccc(Cl)cc1,-3.08,1,5,2,2,1,1,1,4,3,4
160,CSc1nnc(c(=O)n1N)C(C)(C)C,-2.253,3,4,5,2,4,2,4,3,3,2
161,Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc3ccccc3C)cc1,-6.01,3,3,4,3,4,2,2,2,5,1
162,CCCCCC=O,-1.3,3,3,3,4,5,3,4,5,3,3
163,CCCCOC(=O)c1ccc(N)cc1,-3.082,2,4,1,4,2,4,5,4,1,3
164,O2c1cc(C)ccc1N(C)C(=O)c3cc(N)cnc23 ,-3.043,3,4,1,2,3,3,3,5,1,5
165,CC(C)=CCC/C(C)=C\CO,-2.46,2,5,4,4,3,5,5,5,3,1
166,Clc1ccc(cc1)c2ccccc2Cl ,-5.28,4,1,2,4,1,4,2,3,1,3
167,O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-6.523,2,5,1,4,3,4,2,3,5,3
168,CCN(=O)=O,-0.22,4,5,4,2,1,2,3,5,2,5
169,CCN(CC(C)=C)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,-6.124,2,1,3,5,4,3,3,2,2,5
170,Clc1ccc(Cl)c(Cl)c1Cl,-4.57,5,4,1,3,4,2,3,2,5,2
171,CCCC(C)(COC(N)=O)COC(N)=O ,-1.807,5,3,2,4,5,3,5,1,2,2
172,CC(=O)C3CCC4C2CC=C1CC(O)CCC1(C)C2CCC34C ,-4.65,5,1,5,4,3,2,3,1,5,1
173,CI,-1.0,1,1,1,4,1,1,3,3,5,2
174,CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2 ,-1.13,5,1,1,2,2,1,5,1,4,3
175,O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-6.301,1,5,1,1,5,1,3,1,2,3
176,CC1=CC(=O)CC(C)(C)C1 ,-1.06,2,5,1,5,5,4,4,2,3,5
177,O=C1NC(=O)NC(=O)C1(CC)C(C)CC,-2.39,4,4,4,5,5,1,1,5,4,3
178,CCCCC(=O)CCCC,-2.58,5,1,2,2,2,2,4,2,3,5
179,CCC1(CCC(=O)NC1=O)c2ccccc2 ,-2.337,4,5,4,5,3,4,2,3,4,5
180,CCC(C)CC,-3.68,2,4,2,2,3,3,5,1,1,1
181,CCOc1ccc(cc1)C(C)(C)COCc3cccc(Oc2ccccc2)c3,-8.6,1,5,4,2,2,2,1,3,2,3
182,Cc1ccccc1n3c(C)nc2ccccc2c3=O,-2.925,3,1,5,5,1,5,1,1,5,5
183,ClCC#N,-0.092,1,3,2,3,5,3,3,4,2,2
184,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,-5.752000000000002,5,4,1,1,3,4,5,2,1,3
185,CC12CCC(=O)C=C1CCC3C2CCC4(C)C3CCC4(O)C#C ,-5.66,2,5,3,3,2,4,2,1,2,4
186,c1ccnnc1,1.1,3,3,2,5,3,3,1,2,5,2
187,Clc1cc(Cl)c(Cl)c(Cl)c1,-4.63,4,5,4,3,3,4,2,3,4,3
188,C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21,-7.32,3,2,4,5,5,4,2,5,3,4
189,Nc1ccccc1O,-0.72,4,5,2,2,2,3,2,5,1,3
190,CCCCCCCCC(=O)OCC,-3.8,3,1,2,4,3,2,5,4,3,2
191,COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C ,-1.601,3,5,3,4,2,2,5,1,5,4
192,CNC(=O)Oc1ccccc1OC(C)C,-2.05,5,4,5,4,4,2,5,3,4,5
193,CCC(C)Cl,-1.96,1,3,1,2,2,1,3,1,1,1
194,Oc1ccc2ccccc2c1,-2.28,2,5,1,3,4,4,1,2,5,3
195,CC(C)Oc1cc(c(Cl)cc1Cl)n2nc(oc2=O)C(C)(C)C,-5.6960000000000015,1,1,5,4,4,3,1,5,4,2
196,CCCCC#C,-2.36,2,2,5,4,3,4,4,1,5,4
197,CCCCCCCC#C,-4.24,1,4,4,2,1,1,2,1,5,4
198,Cc1ccccc1Cl,-3.52,5,5,4,3,2,4,5,3,3,1
199,CC(C)OC(C)C,-1.1,5,1,2,5,4,1,5,4,2,1
200,Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,-3.094,1,5,1,2,2,1,1,3,4,4
201,CNN,1.34,4,3,4,5,1,2,5,4,2,2
202,CC#C,-0.41,4,1,4,5,4,3,1,1,1,2
203,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,-4.862,3,4,1,2,2,1,5,4,4,2
204,CCNP(=S)(OC)OC(=CC(=O)OC(C)C)C,-3.408,1,4,3,2,3,2,5,1,2,1
205,C=CC=O,0.57,5,1,2,1,3,4,2,1,2,1
206,O=c1[nH]cnc2nc[nH]c12 ,-2.296,5,5,2,3,5,1,5,1,1,2
207,Oc2ccc1ncccc1c2 ,-2.16,1,5,2,1,3,3,4,2,3,4
208,Fc1ccccc1,-1.8,2,2,5,5,5,5,1,3,2,2
209,CCCCl,-1.47,5,1,4,4,3,2,4,5,1,4
210,CCOC(=O)C,-0.04,1,1,5,5,1,2,2,5,3,1
211,CCCC(C)(C)C,-4.36,3,5,2,5,5,3,2,5,1,1
212,Cc1cc(C)c(C)c(C)c1C,-4.0,5,4,2,2,3,2,3,2,2,2
213,CC12CCC(CC1)C(C)(C)O2 ,-1.64,3,5,3,5,3,1,1,5,1,4
214,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-3.896,5,3,4,3,5,2,5,3,3,2
215,Clc1ccc(cc1)c2ccc(Cl)cc2 ,-6.56,4,1,4,2,2,2,5,5,4,3
216,Cc1cccnc1C,0.38,5,3,5,3,2,3,5,1,2,4
217,CC(=C)C1CC=C(C)C(=O)C1,-2.06,2,2,1,5,2,1,5,3,3,2
218,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-5.7360000000000015,2,1,2,3,3,3,3,1,4,1
219,COc1cc(cc(OC)c1O)C6C2C(COC2=O)C(OC4OC3COC(C)OC3C(O)C4O)c7cc5OCOc5cc67,-3.571,3,3,2,1,3,4,4,5,4,1
220,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-8.804,5,1,5,1,3,3,2,1,5,5
221,Cc1ccc(cc1N(=O)=O)N(=O)=O,-2.82,3,5,5,2,5,3,2,1,3,3
222,c1c(Br)ccc2ccccc12 ,-4.4,1,2,4,1,1,2,2,3,4,2
223,CNC(=O)Oc1cccc(N=CN(C)C)c1,-2.34,3,4,4,1,2,5,4,1,5,3
224,COc2cnc1ncncc1n2,-1.139,2,2,2,1,4,3,1,5,5,1
225,Cc3ccnc4N(C1CC1)c2ncccc2C(=O)Nc34 ,-3.19,4,2,5,5,3,5,3,1,3,2
226,CCOP(=S)(OCC)Oc1nc(Cl)n(n1)C(C)C,-3.658,2,4,3,4,2,2,4,3,2,1
227,CC(=C)C=C,-2.03,3,3,2,1,4,3,1,5,1,3
228,CC(C)=CCCC(O)(C)C=C,-1.99,3,5,1,4,1,2,1,4,2,5
229,COP(=S)(OC)Oc1ccc(SC)c(C)c1,-4.57,4,5,2,2,3,3,1,3,3,5
