,smiles,ESOL,rd_8,rd_32,rd_64,rd_128,rd_512,rd_1024,rd_2048,rd_4096,rd_8192,rd_16384
230,OC1CCCCC1,-0.44,2,1,3,3,5,2,2,2,1,5
231,O=C1NC(=O)NC(=O)C1(C)CC=C,-1.16,4,3,2,3,2,1,2,5,5,1
232,CC34CCC1C(CCC2CC(O)CCC12C)C3CCC4=O,-4.16,1,5,2,4,2,5,1,3,5,4
233,OCC(O)C(O)C(O)C(O)CO ,0.06,2,1,2,5,2,2,5,5,4,5
234,Cc1ccc(cc1)c2ccccc2,-4.62,3,4,1,1,1,4,3,1,1,2
235,CCNc1nc(Cl)nc(NC(C)C)n1,-3.85,2,1,3,5,5,1,5,5,3,1
236,NC(=S)Nc1ccccc1,-1.77,1,5,3,3,3,3,1,4,5,3
237,CCCC(=O)CCC,-1.3,4,2,4,2,5,3,1,5,5,3
238,CC(=O)C(C)(C)C,-0.72,1,1,4,3,3,5,2,2,2,2
239,Oc1ccc(Cl)cc1,-0.7,4,3,2,3,4,4,1,1,5,2
240,O=C1CCCCC1,-0.6,3,3,2,3,2,4,2,3,5,4
241,Cc1cccc(N)c1,-0.85,4,2,3,4,4,4,2,5,5,5
242,ClC(Cl)(Cl)C#N,-2.168,4,1,3,4,2,1,5,1,5,2
243,CNc2cnn(c1cccc(c1)C(F)(F)F)c(=O)c2Cl,-4.046,4,4,3,1,5,5,5,5,4,4
244,CCCCCCCCC(=O)C,-3.3,1,5,3,5,1,4,4,4,5,4
245,CCN(CC)c1nc(Cl)nc(NC(C)C)n1,-3.785,1,2,4,5,4,4,3,1,2,3
246,CCOC(=O)c1ccc(N)cc1,-2.616,2,2,4,5,3,2,1,1,1,2
247,Clc1ccc(Cl)c(Cl)c1,-3.59,4,4,4,3,4,1,2,3,3,5
248,Cc3nnc4CN=C(c1ccccc1Cl)c2cc(Cl)ccc2n34,-4.09,1,3,4,3,3,4,1,5,2,3
249,Oc1ccccc1O,0.62,1,5,1,3,3,3,4,3,3,2
250,CCN2c1ncccc1N(C)C(=O)c3cccnc23 ,-2.62,1,1,5,4,1,5,2,4,5,3
251,CSC,-0.45,4,5,2,1,1,3,2,2,4,5
252,Cc1ccccc1Br,-2.23,5,5,2,3,4,4,5,1,2,5
253,CCOC(=O)N,0.85,2,4,5,1,2,5,1,2,4,3
254,CC(=O)OC3(CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C)C(C)=O ,-5.35,1,1,5,5,1,2,5,4,3,4
255,CC(C)C(O)C(C)C,-1.22,4,3,2,3,4,5,5,2,5,2
256,c1ccc2ccccc2c1,-3.6,2,5,4,5,3,3,2,1,4,5
257,CCNc1ccccc1,-1.7,4,5,2,1,5,5,5,2,3,4
258,O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,-4.097,1,2,2,4,4,1,2,2,5,1
259,Cc1c2ccccc2c(C)c3ccc4ccccc4c13,-7.02,4,3,3,1,5,3,5,2,2,5
260,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-6.34,3,1,3,2,1,3,5,5,3,1
261,COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,-6.89,5,5,3,2,1,1,1,1,3,4
262,Fc1cccc(F)c1C(=O)NC(=O)Nc2cc(Cl)c(F)c(Cl)c2F ,-7.28,5,4,4,1,4,3,5,4,3,4
263,O=C1N(COC(=O)CCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.678,2,1,1,3,1,5,4,2,1,1
264,CN(C)C(=O)Nc1ccc(Cl)cc1,-2.89,1,4,3,2,4,3,2,2,5,2
265,OC(Cn1cncn1)(c2ccc(F)cc2)c3ccccc3F,-3.37,1,5,4,1,5,1,3,5,3,2
266,CC(=O)OCC(=O)C3(O)C(CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)OC(C)=O ,-4.13,4,5,3,5,5,2,1,1,2,4
267,CCCCBr,-2.37,1,1,2,1,4,2,2,4,4,4
268,Brc1cc(Br)c(Br)cc1Br,-6.98,4,1,5,1,1,3,2,1,4,2
269,CC(C)CC(=O)C,-0.74,5,2,1,2,4,5,1,4,1,5
270,CCSC(=O)N(CC)C1CCCCC1 ,-3.4,5,1,3,2,5,3,4,4,2,4
271,COc1ccc(Cl)cc1,-2.78,5,4,5,3,2,4,5,2,4,2
272,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.402000000000001,3,3,5,2,2,1,5,3,5,2
273,CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,-2.016,3,4,3,2,2,1,5,5,3,2
274,COP(=S)(OC)Oc1ccc(N(=O)=O)c(C)c1,-4.04,1,4,2,3,3,1,4,4,2,3
275,Ic1cccc2ccccc12,-4.55,5,2,1,1,3,3,4,2,3,4
276,OCC(O)C(O)C(O)C(O)CO,1.09,2,4,1,2,2,3,5,3,1,5
277,CCS,-0.6,5,1,1,3,4,2,3,4,2,2
278,ClCC(Cl)Cl,-1.48,4,5,2,5,4,1,4,4,4,4
279,CN(C)C(=O)Oc1cc(C)nn1c2ccccc2,-2.09,3,1,1,3,5,3,1,5,5,1
280,NC(=O)c1ccccc1O,-1.82,2,2,5,3,2,2,5,4,5,4
281,Cc1ccccc1N(=O)=O,-2.33,2,3,4,1,1,1,3,5,1,1
282,O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C,-2.766,1,2,3,1,3,5,1,4,3,4
283,CCc1ccccc1C,-3.21,1,2,4,2,5,5,5,3,1,5
284,CCCCCCCCl,-4.0,1,4,1,4,2,2,1,5,4,4
285,O=C1NC(=O)NC(=O)C1(CC)CC,-2.4,5,4,5,4,1,3,3,3,4,3
286,C(Cc1ccccc1)c2ccccc2,-4.62,1,5,4,2,1,2,2,1,5,5
287,ClC(Cl)C(Cl)Cl,-1.74,3,5,2,4,3,1,4,3,1,3
288,CCN2c1cc(OC)cc(C)c1NC(=O)c3cccnc23 ,-5.153,2,5,4,3,1,2,3,5,1,3
289,Cc1ccc2c(ccc3ccccc32)c1,-5.84,2,2,4,1,2,3,3,4,5,1
290,CCCCOC(=O)c1ccccc1C(=O)OCCCC ,-4.4,4,1,2,2,3,5,1,5,2,3
291,COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl ,-4.02,4,4,4,2,3,2,4,3,3,4
292,CCN(CC)C(=O)C(=CCOP(=O)(OC)OC)Cl,0.523,1,2,4,5,4,1,4,3,5,2
293,CC34CCC1C(=CCc2cc(O)ccc12)C3CCC4=O,-5.282,2,3,3,3,5,4,2,4,4,3
294,CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2,-4.5760000000000005,3,3,1,5,1,4,1,3,3,5
295,COc1ccc(cc1)N(=O)=O,-2.41,4,1,1,2,3,4,2,5,5,2
296,CCCCCCCl,-3.12,2,2,5,1,3,3,4,2,2,5
297,Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,-9.16,1,5,4,4,4,3,2,1,5,2
298,OCC1OC(CO)(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C1O,-0.41,3,4,3,3,4,3,4,4,5,3
299,CCCCCCCCCCCCCCCCCCCCCCCCCC,-8.334,5,3,5,4,2,1,3,2,1,1
300,CCN2c1ccccc1N(C)C(=O)c3cccnc23 ,-3.324,1,1,4,1,4,3,5,2,3,1
301,CC(Cl)Cl,-1.29,4,3,3,2,3,4,4,4,5,3
302,Nc1ccc(cc1)S(N)(=O)=O,-1.34,2,4,5,2,4,5,3,1,1,2
303,CCCN(CCC)c1c(cc(cc1N(=O)=O)C(C)C)N(=O)=O,-6.49,3,5,3,1,1,2,3,2,2,1
304,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.64,5,3,2,3,4,2,5,1,1,5
305,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,-4.194,2,4,2,1,4,3,5,5,1,3
306,Clc1cccc(Cl)c1Cl,-4.0,2,5,1,4,2,4,4,2,1,5
307,ClC(Cl)(Cl)Cl,-2.31,1,1,3,3,5,1,2,3,1,2
308,O=N(=O)c1cc(Cl)c(Cl)cc1,-3.2,1,4,3,1,5,3,3,5,5,1
309,OC1CCCCCCC1,-1.29,4,5,2,3,2,2,3,5,1,2
310,CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3.999,3,3,1,3,4,4,5,4,4,1
311,CCOc1ccc(NC(N)=O)cc1,-2.17,3,2,3,2,5,1,4,1,5,1
312,C/C1CCC(\C)CC1,-4.47,1,4,2,1,5,5,5,4,5,1
313,c1cnc2c(c1)ccc3ncccc23,-2.68,3,1,3,1,5,3,3,5,3,4
314,COC(C)(C)C,-0.24,3,5,5,3,5,4,3,3,4,3
315,COc1ccc(C=CC)cc1,-3.13,3,2,5,2,3,1,4,1,2,5
316,CCCCCCCCCCCCCCCCO,-7.0,4,2,5,3,5,2,5,3,5,4
317,O=c1cc[nH]c(=O)[nH]1 ,-1.4880000000000002,2,3,5,1,3,3,4,1,1,3
318,Nc1ncnc2nc[nH]c12 ,-2.12,2,5,3,2,2,5,4,5,1,5
319,Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl ,-7.21,2,3,2,1,5,5,2,3,4,3
320,COc1ccc(cc1)C(O)(C2CC2)c3cncnc3 ,-2.596,3,5,1,1,2,2,2,5,3,1
321,c1ccc2c(c1)c3cccc4c3c2cc5ccccc54,-8.23,5,1,1,4,5,2,3,3,4,1
322,O=C(Nc1ccccc1)Nc2ccccc2,-3.15,5,1,4,2,5,4,3,5,4,5
323,CCC1(C(=O)NC(=O)NC1=O)c2ccccc2 ,-2.322,4,2,4,2,4,4,2,1,5,3
324,Clc1ccc(cc1)c2cccc(Cl)c2Cl ,-6.29,5,4,3,3,1,2,2,4,1,3
325,CC(C)c1ccc(NC(=O)N(C)C)cc1,-3.536,4,1,5,4,5,1,5,4,4,2
326,CCN(CC)C(=O)CSc1ccc(Cl)nn1,-1.716,5,4,4,4,5,5,2,5,5,3
327,CCC(C)(C)CO,-1.04,2,3,2,4,4,5,3,5,4,4
328,CCCOC(=O)CCC,-1.75,2,4,2,2,5,3,1,5,4,4
329,Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,-3.22,3,3,3,2,2,2,5,2,5,4
330,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,-4.2,2,2,2,1,1,3,4,1,3,1
331,C1CCCCCC1,-3.51,2,1,2,5,4,1,5,4,1,4
332,CCCOC=O,-0.49,1,4,5,4,4,5,4,3,4,1
333,CC(C)c1ccccc1C,-3.76,1,5,5,2,1,5,1,2,5,2
334,Nc1cccc(Cl)c1,-1.37,1,1,3,1,4,2,2,3,2,5
335,CC(C)CC(C)C,-4.26,3,2,3,5,5,5,1,3,4,4
336,o1c2ccccc2c3ccccc13,-4.6,5,5,1,3,5,3,4,2,1,2
337,CCOC2Oc1ccc(OS(C)(=O)=O)cc1C2(C)C,-3.42,4,5,2,4,3,3,3,3,2,4
338,CN(C)C(=O)Nc1cccc(c1)C(F)(F)F,-3.43,3,5,4,5,3,1,4,5,1,4
339,c3ccc2nc1ccccc1cc2c3,-3.67,5,3,2,1,1,3,1,5,5,3
340,CC12CC(=O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,-3.11,1,4,4,3,4,4,2,5,4,5
341,OCC1OC(O)C(O)C(O)C1O,0.74,1,3,3,4,3,1,1,1,1,2
342,Cc1cccc(O)c1,-0.68,3,5,4,1,4,3,3,2,5,1
343,CC2Cc1ccccc1N2NC(=O)c3ccc(Cl)c(c3)S(N)(=O)=O ,-3.5860000000000003,5,3,5,4,4,1,1,3,1,5
344,CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23 ,-6.005,1,1,4,5,1,2,3,1,2,2
345,O=N(=O)c1ccc(cc1)N(=O)=O,-3.39,2,4,2,5,5,3,5,5,1,4
346,CCC1(C(=O)NC(=O)NC1=O)C2=CCC3CCC2C3,-2.696,1,3,3,5,2,2,1,4,4,5
347,CCCCCCCCCC(=O)OCC,-4.1,5,5,5,4,2,4,1,2,5,2
348,CN(C)C(=O)Nc1ccccc1,-1.6,3,2,4,4,3,4,2,3,4,4
349,CCCOCC,-0.66,5,4,2,4,2,4,1,4,1,3
350,CC(C)O,0.43,3,5,1,3,2,5,5,5,1,5
351,Cc1ccc2ccccc2c1,-3.77,5,4,1,2,5,5,3,5,3,3
352,ClC(Br)Br,-1.9,3,3,3,1,3,5,4,2,3,1
353,CCC(C(CC)c1ccc(O)cc1)c2ccc(O)cc2,-4.43,1,4,1,1,3,1,5,1,3,3
354,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-3.37,5,4,2,1,2,5,1,4,5,1
355,ClCc1ccccc1,-2.39,1,5,3,1,4,3,2,1,1,4
356,C/C=C/C=O,0.32,4,5,5,4,5,1,5,4,4,1
357,CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,-3.924,5,4,3,2,3,1,2,2,4,5
358,Cc1c2ccccc2c(C)c3ccccc13,-6.57,3,4,4,3,5,4,4,4,3,1
359,CCCCCC(=O)OC,-1.87,5,3,1,3,1,2,2,3,2,5
360,CN(C)C(=O)Nc1ccc(c(Cl)c1)n2nc(oc2=O)C(C)(C)C,-4.328,3,3,5,2,5,1,2,3,5,2
361,CC(=O)Nc1ccc(F)cc1,-1.78,5,2,1,2,1,3,3,2,5,5
362,CCc1cccc(CC)c1N(COC)C(=O)CCl ,-3.26,5,5,1,2,3,2,3,1,1,4
363,C1CCC=CC1,-2.59,2,1,3,1,2,4,2,5,3,1
364,CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,-3.09,4,2,1,2,5,1,5,2,2,3
365,c1cncnc1,1.1,1,2,5,2,1,1,5,2,2,2
366,Clc1ccc(cc1)N(=O)=O,-2.92,1,5,5,5,1,5,3,3,5,1
367,CCC(=O)OC,-0.14,1,4,3,5,2,2,2,3,2,5
368,Clc1ccccc1N(=O)=O,-2.55,1,2,5,1,5,4,2,4,5,2
369,CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-4.77,4,3,5,2,5,1,4,3,4,1
370,CN1CC(O)N(C1=O)c2nnc(s2)C(C)(C)C,-1.877,3,2,1,5,5,2,1,1,3,5
371,O=N(=O)c1ccccc1,-1.8,3,3,3,2,4,2,3,5,5,4
372,Ic1ccccc1,-3.01,1,2,3,2,4,2,1,2,3,3
373,CC2Nc1cc(Cl)c(cc1C(=O)N2c3ccccc3C)S(N)(=O)=O ,-3.78,3,1,3,2,1,3,1,1,2,4
374,COc1ccccc1OCC(O)COC(N)=O,-0.985,1,1,4,3,5,5,1,3,4,5
375,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC ,-4.19,3,3,4,5,3,4,3,4,1,4
376,Oc1cccc(Cl)c1Cl,-1.3,4,2,4,2,4,3,2,4,4,1
377,CCCC(=O)OC,-1.92,4,5,1,2,2,5,2,5,5,5
378,CCC(=O)Nc1ccc(Cl)c(Cl)c1,-3.0,5,4,5,4,2,1,5,5,3,3
379,Nc3nc(N)c2nc(c1ccccc1)c(N)nc2n3,-2.404,2,5,3,1,4,3,5,3,1,4
380,CCCCCC(=O)OCC,-2.35,4,2,4,2,3,2,2,5,4,5
381,OCC(O)C2OC1OC(OC1C2O)C(Cl)(Cl)Cl ,-1.84,5,3,2,3,1,1,3,5,2,1
382,CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C,-5.47,1,1,3,2,3,3,4,3,1,2
383,COc1nc(NC(C)C)nc(NC(C)C)n1,-2.478,4,3,3,2,4,5,1,3,2,5
384,CCCCCCC=C,-4.44,1,5,5,1,5,5,1,5,1,4
385,Cc1ccc(N)cc1,-1.21,4,5,5,5,2,2,1,5,2,1
386,Nc1nccs1 ,-0.36,4,5,4,5,2,1,5,3,5,1
387,c1ccccc1(OC(=O)NC),-1.803,1,5,1,1,3,3,2,1,3,5
388,CCCC(O)CC,-0.8,4,2,2,3,4,5,3,2,5,4
389,c3ccc2c(O)c1ccccc1cc2c3 ,-4.73,4,4,1,2,1,5,3,3,4,4
390,Cc1ccc2cc3ccccc3cc2c1,-6.96,1,2,2,4,3,5,2,2,4,3
391,Cc1cccc(C)c1C,-3.2,2,4,2,4,3,1,3,3,1,3
392,CNC(=O)Oc1ccc(N(C)C)c(C)c1,-2.36,2,3,1,4,4,1,4,1,1,2
393,CCCCCCCC(C)O,-2.74,4,4,1,3,1,4,2,1,1,2
394,CN(C(=O)NC(C)(C)c1ccccc1)c2ccccc2,-3.35,4,3,1,3,4,5,2,1,5,5
395,CCCC(=O)CC,-0.83,3,5,2,2,4,1,5,1,1,4
396,Oc1c(Br)cc(C#N)cc1Br ,-3.33,5,2,1,4,4,1,2,2,1,2
397,Clc1ccc(cc1Cl)c2ccccc2 ,-6.39,1,5,3,2,5,4,1,2,3,2
398,CN(C(=O)COc1nc2ccccc2s1)c3ccccc3,-4.873,2,5,3,4,1,5,2,5,3,4
399,Oc1cccc2ncccc12 ,-2.54,5,4,1,1,2,5,3,2,1,2
400,CC1=C(SCCO1)C(=O)Nc2ccccc2,-3.14,4,2,2,5,1,5,3,2,5,3
401,CCOc2ccc1nc(sc1c2)S(N)(=O)=O ,-3.81,3,2,1,3,1,1,1,3,3,5
402,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-4.28,3,2,3,4,5,4,4,5,1,5
403,ClCBr,-0.89,5,1,3,5,5,5,3,1,4,3
404,CCC1(CC)C(=O)NC(=O)N(C)C1=O ,-2.23,1,3,5,5,4,5,5,5,3,3
405,CC(=O)OCC(=O)C3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,-4.63,4,3,5,4,2,2,2,1,3,1
406,NC(=O)NCc1ccccc1 ,-0.95,4,5,3,5,2,3,3,5,5,1
407,CN(C)C(=O)Nc1ccc(C)c(Cl)c1,-3.483,3,1,1,5,2,5,4,3,1,2
408,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.592,1,4,5,5,5,4,1,1,4,3
409,OC1CCCCCC1,-0.88,3,5,3,2,1,1,3,4,1,1
410,CS(=O)(=O)c1ccc(cc1)C(O)C(CO)NC(=O)C(Cl)Cl ,-2.154,5,4,1,3,2,4,1,1,2,2
411,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O ,-3.36,2,2,3,4,3,3,3,3,1,1
412,CC(=O)Nc1nnc(s1)S(N)(=O)=O ,-2.36,3,4,3,2,5,4,4,3,4,5
413,Oc1ccc(cc1)N(=O)=O,-0.74,2,3,4,5,2,3,1,5,2,3
414,ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl,-6.307,1,5,1,4,3,1,1,5,1,2
415,C1CCOC1,0.49,1,3,4,3,5,4,4,3,2,2
416,Nc1ccccc1N(=O)=O,-1.96,5,2,3,4,3,2,3,3,4,1
417,Clc1cccc(c1Cl)c2cccc(Cl)c2Cl,-7.28,5,5,2,4,1,4,3,1,1,3
418,CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3 ,-3.81,5,2,4,2,4,1,5,1,3,1
419,Cc1c(cccc1N(=O)=O)N(=O)=O,-3.0,5,3,1,2,4,2,4,5,5,3
420,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.42,3,5,5,5,4,2,2,1,4,1
421,CCN(CC)c1nc(Cl)nc(n1)N(CC)CC,-4.4110000000000005,1,5,2,1,1,4,5,3,4,3
422,ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2=O ,-5.4,5,2,4,2,4,2,3,5,3,1
423,c1(Br)c(Br)cc(Br)cc1,-4.5,5,4,4,2,1,5,1,3,1,5
424,OC3N=C(c1ccccc1)c2cc(Cl)ccc2NC3=O ,-3.952,4,2,2,5,1,5,5,1,5,3
425,O=C1NC(=O)NC(=O)C1(C(C)CCC)CC=C,-2.356,5,4,5,3,1,3,4,1,4,5
426,c1(O)c(C)ccc(C(C)C)c1,-2.08,5,1,1,5,4,4,5,3,4,5
427,C1SC(=S)NC1(=O),-1.77,2,1,5,4,4,1,3,4,4,5
428,Oc1ccc(c(O)c1)c3oc2cc(O)cc(O)c2c(=O)c3O ,-3.083,2,1,5,3,2,4,4,4,4,5
429,ClC1(C(=O)C2(Cl)C3(Cl)C14Cl)C5(Cl)C2(Cl)C3(Cl)C(Cl)(Cl)C45Cl,-5.259,1,5,1,4,3,1,1,3,4,2
430,CCN(CC)C(=S)SSC(=S)N(CC)CC,-4.86,2,5,1,5,1,5,2,1,1,1
431,C1CCCCC1,-3.1,2,4,4,2,1,4,3,3,2,1
432,ClC1=C(Cl)C(Cl)(C(=C1Cl)Cl)C2(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl,-7.278,5,2,3,3,2,4,4,5,2,4
433,CN(C)C=Nc1ccc(Cl)cc1C,-2.86,2,5,4,5,3,1,3,2,5,3
434,CC34CCc1c(ccc2cc(O)ccc12)C3CCC4=O,-5.24,5,1,2,4,4,3,2,4,5,5
435,CCCCCCCCO,-2.39,5,1,3,3,2,3,5,1,4,5
436,CCSCC,-1.34,3,3,2,4,3,1,5,3,2,1
437,ClCCCl,-1.06,1,4,3,3,3,3,2,3,4,4
438,CCC(C)(C)Cl,-2.51,4,3,2,4,4,3,2,4,2,2
439,ClCCBr,-1.32,1,4,3,5,1,5,4,4,1,2
440,Nc1ccc(cc1)N(=O)=O,-2.37,5,3,4,1,1,5,2,3,2,4
441,OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,-0.244,1,1,3,2,2,3,3,1,2,3
442,CCN2c1ncccc1N(CC)C(=O)c3cccnc23 ,-2.86,2,4,1,2,4,5,4,2,2,3
443,Clc1ccccc1,-2.38,3,2,1,2,1,5,4,1,3,3
444,CCCCCCCC=C,-5.05,1,3,5,5,1,2,3,3,1,3
445,Brc1ccc(I)cc1,-4.56,4,5,2,1,1,2,4,3,2,3
446,CCC(C)(O)CC,-0.36,2,1,5,1,3,4,2,2,3,5
447,CCCCCc1ccccc1,-4.64,5,4,5,2,4,4,3,3,4,1
448,NC(=O)NC1NC(=O)NC1=O ,-1.6,5,5,1,3,4,4,1,3,5,1
449,OCC(O)COC(=O)c1ccccc1Nc2ccnc3cc(Cl)ccc23,-4.5710000000000015,4,1,1,5,2,3,1,3,4,3
450,ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,-7.2,5,4,4,4,1,1,1,3,2,1
451,CC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,-5.184,5,2,5,4,4,3,1,5,2,5
